timestamp,event_type,team,player,shots_taken,goals_scored
2025-04-15T06:13:03,assist,FC Python,Charlie,0,0
2025-04-15T06:13:04,goal,AI United,Yuki,10,4
2025-04-15T06:13:05,foul,FC Python,Alice,0,0
2025-04-15T06:13:06,assist,AI United,Zara,0,0
2025-04-15T06:13:07,goal,FC Python,Bob,9,3
2025-04-15T06:13:08,yellow_card,AI United,Xander,0,0
2025-04-15T06:13:09,goal,FC Python,Charlie,8,3
2025-04-15T06:13:10,assist,AI United,Yuki,0,0
2025-04-15T06:13:11,foul,AI United,Yuki,0,0
2025-04-15T06:13:12,assist,FC Python,Alice,0,0
2025-04-15T06:13:13,shot,AI United,Xander,12,2
2025-04-15T06:13:14,assist,FC Python,Bob,0,0
2025-04-15T06:13:15,foul,AI United,Zara,0,0
2025-04-15T06:13:16,goal,FC Python,Alice,6,2
2025-04-15T06:13:17,assist,AI United,Yuki,0,0
2025-04-15T06:13:18,goal,AI United,Xander,7,2
2025-04-15T06:13:19,foul,AI United,Yuki,0,0
2025-04-15T06:13:20,assist,FC Python,Charlie,0,0
2025-04-15T06:13:21,goal,FC Python,Charlie,8,3
2025-04-15T06:13:22,foul,AI United,Zara,0,0
2025-04-15T06:13:23,assist,AI United,Zara,0,0
2025-04-15T06:13:24,goal,FC Python,Bob,7,2
2025-04-15T06:13:25,foul,AI United,Yuki,0,0
2025-04-15T06:13:26,assist,AI United,Yuki,0,0
2025-04-15T06:13:27,goal,AI United,Zara,6,2
2025-04-15T06:13:28,assist,FC Python,Bob,0,0
2025-04-15T06:13:29,goal,FC Python,Alice,5,1
2025-04-15T06:13:30,foul,AI United,Xander,0,0
2025-04-15T06:13:31,assist,FC Python,Charlie,0,0
2025-04-15T06:13:32,goal,AI United,Yuki,4,1
2025-04-15T06:13:33,shot,AI United,Zara,11,3
2025-04-15T06:13:34,foul,FC Python,Charlie,0,0
2025-04-15T06:13:35,assist,AI United,Xander,0,0
2025-04-15T06:13:36,goal,FC Python,Bob,9,3
2025-04-15T06:13:37,foul,AI United,Yuki,0,0
2025-04-15T06:13:38,assist,FC Python,Alice,0,0
2025-04-15T06:13:39,goal,AI United,Zara,7,2
2025-04-15T06:13:40,foul,AI United,Xander,0,0
2025-04-15T06:13:41,assist,AI United,Yuki,0,0
2025-04-15T06:13:42,goal,FC Python,Charlie,8,3
2025-04-15T06:13:43,shot,FC Python,Bob,10,3
2025-04-15T06:13:44,goal,AI United,Yuki,10,4
2025-04-15T06:13:45,foul,AI United,Zara,0,0
2025-04-15T06:13:46,assist,FC Python,Charlie,0,0
2025-04-15T06:13:47,goal,FC Python,Bob,11,4
2025-04-15T06:13:48,foul,AI United,Yuki,0,0
2025-04-15T06:13:49,assist,AI United,Zara,0,0
2025-04-15T06:13:50,goal,AI United,Xander,6,2
2025-04-15T06:13:51,foul,FC Python,Alice,0,0
2025-04-15T06:13:52,assist,AI United,Yuki,0,0
2025-04-15T06:13:53,goal,FC Python,Bob,7,2
2025-04-15T06:13:54,foul,AI United,Zara,0,0
2025-04-15T06:13:55,assist,FC Python,Charlie,0,0
2025-04-15T06:13:56,goal,AI United,Yuki,9,3
2025-04-15T06:13:57,assist,AI United,Xander,0,0
2025-04-15T06:13:58,goal,FC Python,Charlie,8,3
2025-04-15T06:13:59,foul,AI United,Yuki,0,0
2025-04-15T06:14:00,assist,FC Python,Bob,0,0

